1,図の道路標識のある場所は、横風を受けてハンドルをとられやすいので、注意する必要がある。この標識は、「滑りやすい」の標識です。,1,この標識は、「滑りやすい」の標識です。,img01.gif
2,図の道路標識がない場所でも、見通しのきかない交差点を通行するときや、追い越しをするときは、警音器を鳴らさなければならない。見通しの悪い交差点や追い越しをするときなどは鳴らしてはいけません。,1,見通しの悪い交差点や追い越しをするときなどは鳴らしてはいけません。,img02.gif
3,自動車の運転者は、自動車の後部座席に他の者を乗車させて運転するときは、その者に座席ベルトを装着させるように努めなければならない。問題の通り正解です。,0,問題の通り正解です。,null
4,信号機の信号が青色から黄色に変わったとき、停止位置で安全に停止することが出来る場合であっても、黄色の信号であるからそのまま進行してもよい。黄色の灯火に変わったとき、停止位置で安全に停止できるときは、停止位置から先に進んではいけません。,1,黄色の灯火に変わったとき、停止位置で安全に停止できるときは、停止位置から先に進んではいけません。,null
5,左側部分の道幅が７メートルの見通しが良く、かつ、対向車がない道路で他の車を追い越そうとするときは、道路の中央線から右側にはみ出して通行してはならない。問題の通り正解です。,0,問題の通り正解です。,null
6,携帯電話を使用しながらの運転は、周囲の交通状況に対する注意が不十分になり危険なので、運転中は使用しないようにする。問題の通り正解です。,0,問題の通り正解です。,null
7,路側帯とは、歩道のない道路で歩行者の通行のためや車道の効用を保つために白の線によって区分された道路の端の帯状の部分をいう。問題の通り正解です。,0,問題の通り正解です。,null
8,トンネルの中では、車両通行帯があっても、追い越しが禁止されている。車両通行帯がある場合には、追い越しは禁止されていません。,1,車両通行帯がある場合には、追い越しは禁止されていません。,null
9,道路の左端や信号機にこの標示板があるときは、前方の信号が赤であっても自動車、原動機付自転車などは、まわりの交通に注意しながら左折してもよい。周りの交通に注意しながら左折できます。,0,周りの交通に注意しながら左折できます。,img03.jpg
10,横断歩道や自転車横断帯とその手前３０メートル以内の場所は、他の車（軽車両を除く）を追い越したり追い抜いたりしてはならない。問題の通り正解です。,0,問題の通り正解です。,null
